,address,bathrooms,bedrooms,building_sqft,desc,garages,img_url,list_price,list_status,list_url,lot_sqft,mls_num,pool,real_comp_link,real_comp_name,real_link,real_name,stories,year_built
31,"1205 Siesta Lane, Houston, TX 77029",.1 Full  Bath(s),2 Bed(s),".1,296 Building Sqft.","Single-Family Property, Traditional Style  in Market Street Gardens Ext 02 Subdivision  in Northeast Houston (Market Area) ",,background-image:url(https://photos.harstatic.com/174534457/lr/img-1.jpeg?ts=2019-06-07T17:29:23.093);," $ 69,876   ",For Sale,/1205-siesta-lane/sale_40113846,"7,200 Lot Sqft.",MLS# 40113846,No Private Pool ,/realty-associates/broker_PBME04,Realty Associates,/marisol-velez/agent_msol,Marisol Velez,.1 Stories,Built in 1940
32,"7329 W Knoll Street, Houston, TX 77028",.1 Full  Bath(s),3 Bed(s),".1,060 Building Sqft.","Single-Family Property, Traditional Style  in Rosewood Estates Subdivision  in Northeast Houston (Market Area) ",1 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/171566456/lr/img-1.jpeg?ts=2019-03-20T16:16:15.883);," $ 69,500   ",For Sale,/7329-w-knoll-street/sale_80587751,"7,800 Lot Sqft.",MLS# 80587751,No Private Pool ,/texas-real-estate-pro/broker_RMXJ01,Texas Real Estate Pro,/paige-houston/agent_PHouston,Paige Houston,.1 Stories,Built in 1947
33,"4137 Reed Road, Houston, TX 77051",.3 Full  Bath(s),3 Bed(s),".1,300 Building Sqft.","Single-Family Property, Other Style Style  in Reed Terrace Subdivision  in Medical Center South (Market Area) ",,background-image:url(https://photos.harstatic.com/174955995/lr/img-1.jpeg?ts=2019-06-20T12:50:24.177);," $ 69,000   ",For Sale,/4137-reed-road/sale_75762380,"6,634 Lot Sqft.",MLS# 75762380,No Private Pool ,/century-21-olympian-galleria/broker_OLYR01,Century 21 Olympian Galleria,/jack-williams/agent_jackvw,Jack Williams,.1 Stories,Built in 1958
34,"4804 Hoffman Street, Houston, TX 77026",,2 Bed(s),".1,152 Building Sqft.","Single-Family Property, Traditional Style  in Liberty Gardens Ext Sec 02 Subdivision  in Northside (Market Area) ",,background-image:url(https://photos.harstatic.com/173285617/lr/img-1.jpeg?ts=2019-05-06T17:02:27.250);," $ 69,000   ",For Sale,/4804-hoffman-street/sale_11845776,"10,380 Lot Sqft.",MLS# 11845776,No Private Pool ,/continental-realty/broker_DELG01,Continental Realty,/susan-delgado/agent_sdelgado,Susan Delgado,.1 Stories,Built in 1950
35,"4510 Galesburg Street, Houston, TX 77051",.2 Full  Bath(s),3 Bed(s),".1,519 Building Sqft.","Single-Family Property, Other Style Style  in Safeguard Subdivision  in Medical Center South (Market Area) ",1 Garage(s) / Detached,background-image:url(https://photos.harstatic.com/172920554/lr/img-1.jpeg?ts=2019-04-26T23:10:06.270);," $ 50,000   ",Under Contract - Option Pending,/4510-galesburg-street/sale_98770274,"5,600 Lot Sqft.",MLS# 98770274,No Private Pool ,/keller-williams-realty-metropolitan/broker_KWHM01,Keller Williams Realty Metropolitan,/rebecca-castillo/agent_rcastill,Rebecca Castillo,.1 Stories,Built in 1950
36,"12620 Adelia Court, Houston, TX 77015",.1 Full & 1 Half Bath(s),3 Bed(s),".1,109 Building Sqft.","Single-Family Property, Traditional Style  in Woodland Acres Annex Sec 02 Subdivision  in North Channel (Market Area) ",1 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/170439239/lr/img-1.jpeg?ts=2019-02-14T09:09:16.277);," $ 68,900   ",For Sale,/12620-adelia-court/sale_13456700,"6,500 Lot Sqft.",MLS# 13456700,No Private Pool ,/trillionaire-realty/broker_TRIL01,Trillionaire Realty,/chris-lawrence/agent_THELIGHT,Chris Lawrence,.1 Stories,Built in 1950
37,"3915 Manordale Drive, Houston, TX 77082",.2 Full  Bath(s),3 Bed(s),".1,858 Building Sqft.","Single-Family Property, Traditional Style  in Clayton Sec 01 Subdivision  in Mission Bend Area (Market Area) ",2 Garage(s) / Attached,background-image:url(https://content.harstatic.com/img/common/nophoto3.jpg);," $ 68,000   ",Under Contract - Pending,/3915-manordale-drive/sale_92995498,"8,050 Lot Sqft.",MLS# 92995498,No Private Pool ,/realty-associates/broker_PBME03,Realty Associates,/michael-jones/agent_MIKEJ,Michael Jones,.1 Stories,Built in 1978
38,"1614 Wipprecht Street, Houston, TX 77020",.1 Full  Bath(s),1 Bed(s),.615 Building Sqft.,"Single-Family Property, Traditional Style  in Augusta Subdivision  in Denver Harbor (Market Area) ",,background-image:url(https://photos.harstatic.com/174534769/lr/img-1.jpeg?ts=2019-06-07T17:45:49.933);," $ 67,000   ",For Sale,/1614-wipprecht-street/sale_70855490,"1,947 Lot Sqft.",MLS# 70855490,No Private Pool ,/re_max-top-realty/broker_RTOP03,RE/MAX Top Realty,/teresa-martinez/agent_MTLOYA,Teresa Martinez,.1 Stories,Built in 1935
39,"6226 Shady Timbers Drive, Houston, TX 77016",.1 Full & 1 Half Bath(s),3 Bed(s),".1,526 Building Sqft.","Single-Family Property, Ranch Style  in Shady Timbers Subdivision  in Northside (Market Area) ",2 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/171849967/lr/img-1.jpeg?ts=2019-03-28T10:58:18.797);," $ 66,000   ",Under Contract - Pending,/6226-shady-timbers-drive/sale_59100788,"9,003 Lot Sqft.",MLS# 59100788,No Private Pool ,/realhome-services--and--solutions/broker_ALTS01,RealHome Services & Solutions,/stephen-metarelis/agent_SteveGM,Stephen Metarelis,.1 Stories,Built in 1967
40,"4814 Paula Street, Houston, TX 77033",.2 Full  Bath(s),4 Bed(s),".1,656 Building Sqft.","Single-Family Property, Traditional Style  in Sunnyside Gardens Subdivision  in Medical Center South (Market Area) ",,background-image:url(https://photos.harstatic.com/171610779/lr/img-1.jpeg?ts=2019-04-13T12:50:25.273);," $ 65,643   ",Under Contract - Pending,/4814-paula-street/sale_37038365,"7,068 Lot Sqft.",MLS# 37038365,No Private Pool ,/womack-development/broker_WOOO01,Womack Development,/gerald-womack/agent_GWW,Gerald Womack,.1 Stories,Built in 1945
41,"2919 Dragonwick Drive, Houston, TX 77045",.1 Full  Bath(s),3 Bed(s),".1,395 Building Sqft.","Single-Family Property, Other Style Style  in Almeda Plaza Sec 02 Subdivision  in Five Corners (Market Area) ",,background-image:url(https://photos.harstatic.com/174581935/lr/img-1.jpeg?ts=2019-06-09T14:24:42.763);," $ 65,000   ",Under Contract - Option Pending,/2919-dragonwick-drive/sale_97771916,"8,090 Lot Sqft.",MLS# 97771916,No Private Pool ,/keller-williams-memorial/broker_KWPT01,Keller Williams Memorial,/jack-sharpe/agent_jsharpe,Jack Sharpe,.1 Stories,Built in 1960
42,"8005 Ritz Street, Houston, TX 77028",.1 Full  Bath(s),2 Bed(s),".1,110 Building Sqft.","Single-Family Property, Traditional Style  in Liberty Road Manor Sec 22 U/r Subdivision  in Northeast Houston (Market Area) ",,background-image:url(https://photos.harstatic.com/174453383/lr/img-1.jpeg?ts=2019-06-06T09:07:08.357);," $ 65,000   ",For Sale,/8005-ritz-street/sale_78314899,"4,000 Lot Sqft.",MLS# 78314899,No Private Pool ,/l--and--b-real-estate-------------/broker_LBRE01,L & B Real Estate             ,/lawrence-brown/agent_BROWNLA,Lawrence Brown,.1 Stories,Built in 1940
43,"202 N Carolina Street, Houston, TX 77029",.1 Full & 1 Half Bath(s),3 Bed(s),".1,344 Building Sqft.","Single-Family Property, Traditional Style  in Clinton Park Subdivision  in Denver Harbor (Market Area) ",1 Garage(s) / Detached,background-image:url(https://photos.harstatic.com/174356699/lr/img-1.jpeg?ts=2019-06-04T11:38:30.680);," $ 65,000   ",Under Contract - Pending,/202-n-carolina-street/sale_27013027,"6,815 Lot Sqft.",MLS# 27013027,No Private Pool ,/abc-capital-group--llc/broker_ABCG01,"ABC Capital Group , LLC",/brian-clark/agent_BGCLARK,Brian Clark,.1 Stories,Built in 1958
44,"4611 Kingsbury Street, Houston, TX 77021",.1 Full  Bath(s),2 Bed(s),.904 Building Sqft.,"Single-Family Property, Traditional Style  in Southern Village Sec 02 Subdivision  in University Area (Market Area) ",,background-image:url(https://photos.harstatic.com/174342028/lr/img-1.jpeg?ts=2019-06-03T21:58:16.810);," $ 65,000   ",Under Contract - Pending,/4611-kingsbury-street/sale_29604740,"6,591 Lot Sqft.",MLS# 29604740,No Private Pool ,/bayou-vista-realty-llc/broker_BVRE01,"Bayou Vista Realty, LLC",/niveen-chabaita/agent_niveench,Niveen Chabaita,.1 Stories,Built in 1940
45,"5438 San Jose Street, Houston, TX 77020",.1 Full  Bath(s),2 Bed(s),.842 Building Sqft.,"Single-Family Property, Traditional Style  in Buena Vista Subdivision  in Denver Harbor (Market Area) ",,background-image:url(https://photos.harstatic.com/173547326/lr/img-1.jpeg?ts=2019-05-14T12:21:35.757);," $ 65,000   ",Under Contract - Pending,/5438-san-jose-street/sale_54177189,"3,950 Lot Sqft.",MLS# 54177189,No Private Pool ,/compass-re-texas-llc/broker_CMTX01,"Compass RE Texas, LLC",/holley-madden/agent_HMADDEN,Holley Madden,.1 Stories,Built in 1948
